Variable,Perfect_Degree,Linear_AIC,Quad_AIC,Cubic_AIC,P_Val_X2,P_Val_X3
EUR_CNY_log_return,1,2631.9297746200723,2633.478739596405,2635.4906831431495,0.5077967921481895,0.9908676888152861
Global_Gross_Revenue_USD_log_return,3,2631.9297746200723,2626.4431404916886,2618.1000602601607,0.006229089894074733,0.006569108905921694
MSCIEM,1,2631.9297746200723,2631.934427255688,2651.8382066141958,0.15820382373742325,8.65819723310855e-05
ETHUSDT_Log_Return,2,2631.9297746200723,2607.963149974977,2608.6316561672734,4.880147183611717e-06,0.2528155954084593
Global_Stablecoins_Mcap_USD_log_return,1,2631.9297746200723,2633.9297572323917,2778.7224130596696,0.9966742203579824,0.025417480302445724
EUR_USD_log_return,1,2631.9297746200723,2633.200613670616,2635.200634989331,0.39367830428609885,0.9996814069070981
XRPUSDT_Vol_LogGrowth,2,2631.9297746200723,2626.959441479192,2627.5202292542244,0.008529835602037917,0.26397148198977904
BTCUSDT_Vol_LogGrowth,1,2631.9297746200723,2631.7937643128917,2632.7740180124347,0.14521665210385873,0.31680773064239165
USD_CNY_log_return,1,2631.9297746200723,12641.148165903327,12643.316459919737,6.9059035445783555e-68,0.9999424235227992
