,precision,recall,f1-score,support
0,0.8103448275862069,0.9690721649484536,0.8826291079812206,194.0
1,0.9607843137254902,0.7696335078534031,0.8546511627906976,191.0
accuracy,0.8701298701298701,0.8701298701298701,0.8701298701298701,0.8701298701298701
macro avg,0.8855645706558486,0.8693528364009284,0.8686401353859592,385.0
weighted avg,0.8849784427877735,0.8701298701298701,0.868749140367221,385.0
