Metric,Value
Train Accuracy,0.6679438058748404
Mean CV Accuracy,0.5954022988505747
Test Accuracy,0.5586734693877551
Test Classification Error,0.4413265306122449
Test ROC AUC,0.601236496160354
Best C,100.0
Best Gamma,0.0013894954943731374
