Fold,Val_Accuracy,Train_Accuracy,Val_Error
1,0.6283524904214559,0.7440944881889764,0.3716475095785441
2,0.6360153256704981,0.7041095890410959,0.3639846743295019
3,0.5593869731800766,0.726027397260274,0.4406130268199234
4,0.5517241379310345,0.6931506849315069,0.4482758620689655
5,0.6015325670498084,0.6547945205479452,0.3984674329501916
