Metric,Value
Best C,3.727593720314938
Best Lambda,0.2682695795279727
AUC Score,0.5665495249251594
Accuracy,0.5280612244897959
Classification Error,0.47193877551020413
TN,72.0
FP,125.0
FN,60.0
TP,135.0
