Metric,Value
Best C (Inverse Lambda),0.2682695795279725
Best Lambda,3.7275937203149416
AUC Score,0.5658727059742288
Accuracy,0.5255102040816326
Classification Error,0.4744897959183674
True Negatives (TN),75.0
False Positives (FP),122.0
False Negatives (FN),64.0
True Positives (TP),131.0
TN %,19.132653061224488
FP %,31.122448979591837
FN %,16.3265306122449
TP %,33.41836734693878
