,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,7.817030442715256,3.055740671751491,2.5581458907750463,0.010523193385198923,1.8278887799881023,13.80617210544241
ETHUSDT_Log_Return,-4.316218445476844,1.3020188594547055,-3.315019912449276,0.0009163659677384378,-6.868128517199985,-1.7643083737537029
BTCUSDT_Vol_LogGrowth,0.44249059366822396,0.16010419425973477,2.763766406708732,0.0057138427853299645,0.12869213914533933,0.7562890481911086
XRPUSDT_Vol_LogGrowth,-0.32453830415575824,0.14323833176437706,-2.2657224512333363,0.023468382030119028,-0.6052802756195369,-0.04379633269197958
MSCIEM,-1.128646605589046,0.4359423913302959,-2.588981085654311,0.009626038161049332,-1.9830779919306925,-0.2742152192473998
Global_Stablecoins_Mcap_USD_log_return,-30.464358209906756,9.966866553067776,-3.056563268676443,0.0022389022471272827,-49.99905769263647,-10.929658727177042
Global_Gross_Revenue_USD_log_return,-1.7129898460256388,0.4179780189432591,-4.0982773456758705,4.162363623113245e-05,-2.532211709483827,-0.8937679825674505
EUR_CNY_log_return,-71.95530998495302,20.879170358566814,-3.44627246912756,0.0005683769717700373,-112.87773191482022,-31.03288805508582
EUR_USD_log_return,57.27282024880493,20.19250287833687,2.83634082381382,0.004563371926296759,17.69624184954329,96.84939864806657
USD_CNY_log_return,70.39913622747721,26.81690445907225,2.625177575395394,0.008660378775962686,17.83896931084402,122.95930314411041
