,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-0.14075007540075565,0.05289174559564427,-2.661097186634481,0.007788647237738176,-0.24441599184767343,-0.03708415895383786
EUR_CNY_log_return,-0.3007519906399216,0.08729013660682827,-3.445429258457539,0.0005701531814731087,-0.4718375145948863,-0.12966646668495682
Global_Gross_Revenue_USD_log_return,-0.3716265916257811,0.09352050231067406,-3.9737446061959947,7.075142655895958e-05,-0.5549234079707972,-0.18832977528076503
Global_Gross_Revenue_USD_log_return_pow2,0.4104860728493348,0.15514745199792784,2.6457803048858146,0.008150273042413534,0.1064026546402394,0.7145694910584302
Global_Gross_Revenue_USD_log_return_pow3,0.4270465575051967,0.5564570393140466,0.7674385034855948,0.4428208433172952,-0.6635891984941236,1.517682313504517
MSCIEM,-0.18182486709273404,0.05588701134999459,-3.253436938218949,0.001140180293865886,-0.29136139654230464,-0.07228833764316342
ETHUSDT_Log_Return,-0.1647907693193045,0.0558584425056124,-2.9501497343529954,0.003176199574797645,-0.2742713048628061,-0.05531023377580291
ETHUSDT_Log_Return_pow2,0.21105176729148617,0.06968000391694226,3.0288713465495407,0.002454691922290723,0.07448146917166945,0.3476220654113029
Global_Stablecoins_Mcap_USD_log_return,-0.20325574766518742,0.06364954646168443,-3.193357360174479,0.0014062879462381356,-0.3280065663623977,-0.0785049289679771
EUR_USD_log_return,0.2420907633841985,0.09223690563208818,2.624662674069346,0.008673484920438686,0.061309750299886,0.422871776468511
XRPUSDT_Vol_LogGrowth,-0.19374109725450056,0.07600802123484462,-2.5489559405301705,0.010804594958584414,-0.34271408141095167,-0.044768113098049456
XRPUSDT_Vol_LogGrowth_pow2,0.09196075898584254,0.055008111727106686,1.6717672375677362,0.09457022962184221,-0.015853158856841965,0.19977467682852704
BTCUSDT_Vol_LogGrowth,0.23185560127854207,0.07926186199285286,2.9251848928233453,0.003442516200217412,0.0765052064249663,0.3872059961321178
USD_CNY_log_return,0.17832126341069163,0.07014790906272071,2.5420752491888368,0.011019644633273845,0.040833888056968165,0.3158086387644151
